question,answer
"What kind of programs can run on the Starknet VM?","Starknet contracts can run on the Starknet VM."
"In the context of Starknet, what does 'persistent state' mean?","It refers to the continuous and lasting state of the Starknet network that contracts have access to."
"How can you specify that a section of code is a Starknet contract?","By using the #[contract] attribute before the contract code."
"For Starknet contract development, what tool or software can be used?","Scarb can be used for Starknet contract development."
"What needs to be done in Scarb.toml to enable Starknet smart contract compilation?","The starknet dependency should be added, and a [[target.starknet-contract]] section should be included."
"In Scarb.toml, how do you specify the name of the package?","With the line 'name = \"package_name\"' under the [package] section."
"If you need to specify external contract dependencies for Scarb, where should you refer?","You should refer to the Scarb documentation."
"Which tool or utility is related to the Scarb.toml configuration file?","Scarb is the tool related to the Scarb.toml configuration file."
"Is there any additional configuration needed in Scarb.toml apart from the one shown in the document?","Yes, for configurations like external contract dependencies, you'd need to refer to the Scarb documentation."
"How do you declare a dependency's version in the Scarb.toml file?","Using the format 'dependency_name = \"version\"' under the [dependencies] section."
"What is Starknet's operational approach in relation to Rollups?","Starknet operates as a Validity Rollup or a zero-knowledge Rollup."
"Where can one get comprehensive knowledge about Starknet's architecture and available tools?","From the Starknet Book."
"If someone is using Scarb, where can they find examples for its usage in the chapter?","Each example in the provided chapter can be used with Scarb."
"Can Starknet contracts affect the persistent state of Starknet?","Yes, Starknet contracts can alter or modify the persistent state of Starknet."
"How are Starknet contracts distinguished from other code segments?","Starknet contracts are distinguished using the #[contract] attribute."
"Which file is associated with configurations for compiling Starknet contracts in Scarb?","The Scarb.toml file."
"What's the importance of the [dependencies] section in the Scarb.toml file?","It's used to declare and manage external dependencies required for the package."
"Which attribute in the document indicates a Starknet contract?","The #[contract] attribute indicates a Starknet contract."
"If someone wishes to enable Starknet contract compilation using Scarb, which file would they typically modify?","They would typically modify the Scarb.toml file."
"What kind of contracts run on the Starknet VM?","Starknet contracts run on the Starknet VM."
"How does the Cairo language relate to Starknet?","The Cairo language is used to write smart contracts for Starknet."
"Where can one find details about additional configurations for the Scarb tool?","Details about additional configurations can be found in the Scarb documentation."
"Is the version '0.1.0' in the Scarb.toml file associated with the package or a dependency?","It's associated with the package, as indicated in the [package] section."
"Does Starknet operate on Layer-1 or Layer-2 in relation to Ethereum?","Starknet operates as a Layer-2 solution in relation to Ethereum."
"Which section of the Scarb.toml file denotes contract compilation for Starknet?","The [[target.starknet-contract]] section denotes contract compilation for Starknet."
"Can Starknet contracts interact with the Layer-1 blockchain?","Yes, Starknet contracts can interact seamlessly with the underlying L1."
"What is the significance of the 'starknet' dependency in the Scarb.toml file?","It's required for Starknet smart contract development and compilation using Scarb."
"How can one denote a section of code as a Starknet contract?","By prefixing it with the #[contract] attribute."
"In relation to Starknet, what is the main purpose of the Cairo language?","The Cairo language is used to write smart contracts for Starknet."
"Which tool is integral for smart contract development on Starknet?","Scarb is integral for smart contract development on Starknet."
"How do Starknet contracts impact the state of Starknet?","Starknet contracts can alter or modify variables in Starknet's persistent state."
"Where would one refer to if they need to learn about Starknet's architecture and tooling?","They should refer to the Starknet Book."
