question,answer
"What should you do if you get a ContractNotFound error?","Fund your wallet, transfer tokens to another address, and then check your wallet on Starknet explorer."
"How can you check the contents of an account descriptor file?","Use the 'cat' command on the descriptor file's path."
"What does the 'multisig' status 'off' in a descriptor indicate?","That multisignature functionality is disabled for the wallet."
"What information does the 'deployment' section of a descriptor contain?","Status, class hash, and address of the wallet."
"Why set environment variables for Starkli commands?","To make command execution easier and more efficient."
"What is the primary function of the 'Scarb build' command?","To compile a smart contract."
"Why might you choose a third-party JSON-RPC API provider over Starknet Sequencer’s Gateway?","Because the sequencer gateway is deprecated and will be disabled soon."
"What does setting the STARKNET_RPC environment variable do?","It specifies the RPC endpoint for Starkli commands."
"What does the starkli declare command do?","Declares a smart contract on Starknet."
"How does starkli determine the target blockchain network?","Through the STARKNET_RPC URL."
"What might an 'Invalid contract class' error indicate?","Incompatibility between Scarb’s compiler version and Starkli."
"What is a class hash in Starknet?","A unique identifier for a declared contract class."
"What does the message 'Not declaring class as its already declared' mean?","The contract class has already been declared on the network."
"What is the purpose of the starkli deploy command?","To instantiate a smart contract on Starknet’s testnet."
"What should you verify using StarkScan after deploying a contract?","The contract's status and details."
"What is the difference between 'call' and 'invoke' commands in Starkli?","'Call' is for read-only functions, while 'invoke' is for write functions that modify state."
"What information is returned by the 'get_owner' function in a contract call?","The address of the current owner of the contract."
"What is the significance of a constructor in a smart contract?","It initializes the contract, often setting initial values like the owner's address."
"How can you confirm the new owner of a contract after invoking transfer_ownership?","By calling the get_owner function again and checking the returned address."
"Why is the command format for deploying contracts important?","It ensures the correct class hash and constructor inputs are used."
"What is the role of an RPC provider in Starknet?","To enable communication between the user and the Starknet blockchain."
"What can cause a deployment failure in Starknet?","Incorrect class hash, insufficient funds, or network issues."
"How can you handle an error during contract declaration?","Check for network issues, verify the contract code, and ensure compatibility of tools."
"What does 'starkli parse-cairo-string' do with an encoded error?","Decodes it to a human-readable string."
"What does a successful contract deployment message in Starkli include?","The deployed contract address and transaction hash."
"How does setting the STARKNET_ACCOUNT variable help?","It defines the path to the Account Descriptor file for Starkli commands."
"Why is the Starknet testnet useful?","For testing smart contract deployment and interactions without real-world consequences."
"What does the 'starkli call' command demonstrate about a smart contract?","Its read functionalities and current state information."
"What does the 'version' field in a descriptor file indicate?","The version of the descriptor file format or the wallet variant."



